 61  887.803911 9.537E-30 3.700E-03.04100.055 3900.70920.57-.001776    0 0 0 1 1F2    0 0 0 0 1A1   26F2  6        27F1  3     333333574732 3 3 3   159.0  165.0
 61  887.821576 6.314E-30 3.675E-03.04100.055 3900.69090.57-.001776    0 0 0 1 1F2    0 0 0 0 1A1   26E   4        27E   2     333333574732 3 3 3   106.0  110.0
 63  891.203887 3.227E-28 8.773E-04.03520.057 1233.85360.75-.001710             V6         GROUND 14 13  A1      15 15  A2     335333362528 1 1 1   696.0  744.0
 61  892.054489 6.445E-30 2.501E-03.04100.055 3898.84520.57-.001784    0 0 0 1 1F2    0 0 0 0 1A1   26F1  6        27F2  3     333333574732 3 3 3   159.0  165.0
 61  892.059813 6.430E-30 2.495E-03.04100.055 3898.83980.57-.001784    0 0 0 1 1F2    0 0 0 0 1A1   26F2  7        27F1  2     333333574732 3 3 3   159.0  165.0
 63  892.847247 2.709E-28 2.067E-03.03580.057 1316.57580.75-.001720             V6         GROUND 15 12  E       16 14  E      335333362528 1 1 1   372.0  396.0
 63  894.360633 2.383E-28 2.698E-03.03610.056 1409.92750.75-.001720             V6         GROUND 16 11  E       17 13  E      335333362528 1 1 1   396.0  420.0
 61  895.002228 6.001E-30 9.946E-04.04100.055 3631.14450.57-.001790    0 0 0 1 1F2    0 0 0 0 1A1   25E   1        26E   5     333333574732 3 3 3   102.0  106.0
 61  895.019557 1.575E-29 1.740E-03.04100.055 3631.15410.57-.001790    0 0 0 1 1F2    0 0 0 0 1A1   25F1  2        26F2  7     333333574732 3 3 3   153.0  159.0
 61  895.020259 3.299E-30 3.645E-04.04100.055 3631.13480.57-.001790    0 0 0 1 1F2    0 0 0 0 1A1   25F2  1        26F1  6     333333574732 3 3 3   153.0  159.0
 63  895.710380 3.313E-28 2.939E-03.03620.056 1513.85600.75-.001720             V6         GROUND 17 10  A2      18 12  A1     335333362528 1 1 1   840.0  888.0
 61  895.774164 2.631E-29 2.912E-03.04100.055 3631.13480.57-.001792    0 0 0 1 1F2    0 0 0 0 1A1   25F2  2        26F1  6     333333574732 3 3 3   153.0  159.0
 61  895.779035 1.328E-29 2.205E-03.04100.055 3631.14450.57-.001792    0 0 0 1 1F2    0 0 0 0 1A1   25E   2        26E   5     333333574732 3 3 3   102.0  106.0
 61  895.924693 1.107E-30 1.225E-04.04100.055 3631.13480.57-.001792    0 0 0 1 1F2    0 0 0 0 1A1   25F2  3        26F1  6     333333574732 3 3 3   153.0  159.0
 61  895.942152 9.428E-30 1.044E-03.04100.055 3631.15410.57-.001792    0 0 0 1 1F2    0 0 0 0 1A1   25F1  3        26F2  7     333333574732 3 3 3   153.0  159.0
 61  896.282225 5.633E-30 6.241E-04.04100.055 3631.15410.57-.001793    0 0 0 1 1F2    0 0 0 0 1A1   25F1  4        26F2  7     333333574732 3 3 3   153.0  159.0
 61  896.537080 5.557E-29 6.114E-03.04100.055 3629.58910.57-.001793    0 0 0 1 1F2    0 0 0 0 1A1   25F1  1        26F2  6     333333574732 3 3 3   153.0  159.0
 61  896.650360 2.462E-29 4.062E-03.04100.055 3629.49630.57-.001793    0 0 0 1 1F2    0 0 0 0 1A1   25E   1        26E   4     333333574732 3 3 3   102.0  106.0
 61  896.749691 2.076E-29 2.283E-03.04100.055 3629.40530.57-.001793    0 0 0 1 1F2    0 0 0 0 1A1   25F2  1        26F1  5     333333574732 3 3 3   153.0  159.0
 61  896.761997 2.229E-30 2.472E-04.04100.055 3631.15410.57-.001794    0 0 0 1 1F2    0 0 0 0 1A1   25F1  5        26F2  7     333333574732 3 3 3   153.0  159.0
 61  896.762650 2.460E-30 4.093E-04.04100.055 3631.14450.57-.001794    0 0 0 1 1F2    0 0 0 0 1A1   25E   3        26E   5     333333574732 3 3 3   102.0  106.0
 63  896.855743 9.914E-29 2.910E-03.03600.055 1628.30660.75-.001720             V6         GROUND 18  9  E       19 11  E      335333362528 1 1 1   444.0  468.0
 61  897.427168 1.109E-29 1.833E-03.04100.055 3629.49630.57-.001795    0 0 0 1 1F2    0 0 0 0 1A1   25E   2        26E   4     333333574732 3 3 3   102.0  106.0
 61  897.496813 1.393E-28 9.173E-03.04100.055 3628.66260.57-.001795    0 0 0 1 1F2    0 0 0 0 1A1   25A2  1        26A1  2     333333574732 3 3 3   255.0  265.0
 61  897.503597 6.361E-30 7.007E-04.04100.055 3629.40530.57-.001795    0 0 0 1 1F2    0 0 0 0 1A1   25F2  2        26F1  5     333333574732 3 3 3   153.0  159.0
 61  897.506967 2.947E-30 3.249E-04.04100.055 3629.58910.57-.001795    0 0 0 1 1F2    0 0 0 0 1A1   25F1  3        26F2  6     333333574732 3 3 3   153.0  159.0
 61  897.654125 2.607E-29 2.873E-03.04100.055 3629.40530.57-.001795    0 0 0 1 1F2    0 0 0 0 1A1   25F2  3        26F1  5     333333574732 3 3 3   153.0  159.0
 61  897.716963 5.502E-29 6.035E-03.04100.055 3628.43800.57-.001795    0 0 0 1 1F2    0 0 0 0 1A1   25F2  1        26F1  4     333333574732 3 3 3   153.0  159.0
 61  897.882756 5.156E-30 5.652E-04.04100.055 3628.24340.57-.001796    0 0 0 1 1F2    0 0 0 0 1A1   25F1  1        26F2  5     333333574732 3 3 3   153.0  159.0
 61  897.930047 4.742E-29 5.199E-03.04100.055 3628.24340.57-.001796    0 0 0 1 1F2    0 0 0 0 1A1   25F1  2        26F2  5     333333574732 3 3 3   153.0  159.0
 61  898.044122 1.538E-30 1.696E-04.04100.055 3629.40530.57-.001796    0 0 0 1 1F2    0 0 0 0 1A1   25F2  4        26F1  5     333333574732 3 3 3   153.0  159.0
 61  898.326812 3.052E-30 3.371E-04.04100.055 3629.58910.57-.001797    0 0 0 1 1F2    0 0 0 0 1A1   25F1  5        26F2  6     333333574732 3 3 3   153.0  159.0
 61  898.410783 3.421E-30 5.666E-04.04100.055 3629.49630.57-.001797    0 0 0 1 1F2    0 0 0 0 1A1   25E   3        26E   4     333333574732 3 3 3   102.0  106.0
 61  898.621397 1.782E-29 1.958E-03.04100.055 3628.43800.57-.001797    0 0 0 1 1F2    0 0 0 0 1A1   25F2  3        26F1  4     333333574732 3 3 3   153.0  159.0
 61  898.688135 1.081E-29 1.182E-03.04100.055 3627.43800.57-.001797    0 0 0 1 1F2    0 0 0 0 1A1   25F1  1        26F2  4     333333574732 3 3 3   153.0  159.0
 61  898.735426 2.079E-29 2.274E-03.04100.055 3627.43800.57-.001797    0 0 0 1 1F2    0 0 0 0 1A1   25F1  2        26F2  4     333333574732 3 3 3   153.0  159.0
 61  898.782695 2.541E-29 4.169E-03.04100.055 3627.36400.57-.001798    0 0 0 1 1F2    0 0 0 0 1A1   25E   1        26E   3     333333574732 3 3 3   102.0  106.0
