 71 1421.944643 2.841E-32 1.018E-11.03570.039  791.40310.720.000000       X      1       X      0                O 23P 22     q552220493310 9 4 0    43.0   45.0
 71 1422.679214 1.510E-33 8.408E-14.04620.046  260.68240.720.000000       X      1       X      0                M 13O 12     q552220493310 9 4 0    21.0   25.0
 71 1423.057946 1.919E-32 5.076E-09.03880.041 2095.24290.720.000000       X      2       X      1                O 19O 18     q552220493310 9 4 0    33.0   37.0
 71 1423.080802 2.006E-32 5.048E-09.03880.041 2097.08890.720.000000       X      2       X      1                O 19O 19     q552220493310 9 4 0    35.0   39.0
 71 1423.093616 2.144E-32 5.050E-09.03880.041 2094.94410.720.000000       X      2       X      1                O 19O 20     q552220493310 9 4 0    37.0   41.0
 71 1430.684628 5.750E-30 1.185E-09.03720.041  664.25950.720.000000       X      1       X      0                O 21P 21     d50222049 110 9 4 0    41.0   43.0
 71 1430.684628 5.527E-32 1.133E-11.03720.041  664.25950.720.000000       X      1       X      0                O 21P 21     q552220493310 9 4 0    41.0   43.0
 71 1432.807028 1.155E-29 2.609E-09.03720.041  662.43590.720.000000       X      1       X      0                O 21O 20     q552220493310 9 4 0    37.0   41.0
 71 1432.829414 1.201E-29 2.597E-09.03720.041  664.25950.720.000000       X      1       X      0                O 21O 21     q552220493310 9 4 0    39.0   43.0
 71 1432.842085 1.276E-29 2.598E-09.03720.041  662.10200.720.000000       X      1       X      0                O 21O 22     q552220493310 9 4 0    41.0   45.0
 71 1434.653048 5.000E-30 1.080E-09.03720.041  662.43590.720.000000       X      1       X      0                O 21P 20     d50222049 110 9 4 0    39.0   41.0
 71 1434.653048 6.022E-32 1.294E-11.03720.041  662.43590.720.000000       X      1       X      0                O 21P 20     q552220493310 9 4 0    39.0   41.0
 71 1435.400241 2.907E-32 5.344E-09.04040.042 1990.25170.720.000000       X      2       X      1                O 17O 16     q552220493310 9 4 0    29.0   33.0
 71 1435.423634 3.058E-32 5.306E-09.04040.042 1992.11650.720.000000       X      2       X      1                O 17O 17     q552220493310 9 4 0    31.0   35.0
 71 1435.436785 3.291E-32 5.309E-09.04040.042 1989.99040.720.000000       X      2       X      1                O 17O 18     q552220493310 9 4 0    33.0   37.0
 71 1443.286205 9.340E-30 1.226E-09.03910.042  546.70420.720.000000       X      1       X      0                O 19P 19     d50222049 110 9 4 0    37.0   39.0
 71 1443.286205 1.111E-31 1.451E-11.03910.042  546.70420.720.000000       X      1       X      0                O 19P 19     q552220493310 9 4 0    37.0   39.0
 71 1445.389561 1.885E-29 2.744E-09.03910.042  544.86220.720.000000       X      1       X      0                O 19O 18     q552220493310 9 4 0    33.0   37.0
 71 1445.412329 1.970E-29 2.729E-09.03910.042  546.70420.720.000000       X      1       X      0                O 19O 19     q552220493310 9 4 0    35.0   39.0
 71 1445.425277 2.106E-29 2.730E-09.03910.042  544.56510.720.000000       X      1       X      0                O 19O 20     q552220493310 9 4 0    37.0   41.0
 71 1446.212853 3.921E-33 1.965E-13.04860.048  188.85310.720.000000       X      1       X      0                M 11O 10     q552220493310 9 4 0    17.0   21.0
 71 1447.254315 7.990E-30 1.105E-09.03910.042  544.86220.720.000000       X      1       X      0                O 19P 18     d50222049 110 9 4 0    35.0   37.0
 71 1447.254315 1.219E-31 1.678E-11.03910.042  544.86220.720.000000       X      1       X      0                O 19P 18     q552220493310 9 4 0    35.0   37.0
 71 1447.631684 4.095E-32 5.631E-09.04210.043 1896.56370.720.000000       X      2       X      1                O 15O 14     q552220493310 9 4 0    25.0   29.0
 71 1447.655849 4.342E-32 5.580E-09.04210.043 1898.44770.720.000000       X      2       X      1                O 15O 15     q552220493310 9 4 0    27.0   31.0
 71 1447.669483 4.715E-32 5.584E-09.04210.043 1896.34060.720.000000       X      2       X      1                O 15O 16     q552220493310 9 4 0    29.0   33.0
 71 1455.778850 1.420E-29 1.269E-09.04050.043  440.56180.720.000000       X      1       X      0                O 17P 17     d50222049 110 9 4 0    33.0   35.0
 71 1455.778850 2.135E-31 1.899E-11.04050.043  440.56180.720.000000       X      1       X      0                O 17P 17     q552220493310 9 4 0    33.0   35.0
