 51 2021.561200 2.788E-28 4.606E+01.05310.057 4837.07170.69-.002822              3              2                    P 17      47566310 8 5 5 1 8    33.0   35.0
 51 2022.914454 1.292E-21 1.527E+01.04600.049 1557.06070.67-.002817              1              0                    P 28      47562310 8 5 5 1 8    55.0   57.0
 51 2025.144704 1.092E-24 3.073E+01.04960.053 3105.64790.67-.002831              2              1                    P 22      47562310 8 5 5 1 8    43.0   45.0
 51 2025.876271 3.590E-28 4.644E+01.05380.058 4773.01610.70-.002814              3              2                    P 16      47566310 8 5 5 1 8    31.0   33.0
 51 2027.649176 2.102E-21 1.539E+01.04650.049 1449.93600.67-.002819              1              0                    P 27      47562310 8 5 5 1 8    53.0   55.0
 51 2029.655898 1.567E-24 3.097E+01.05030.053 3022.08730.67-.002832              2              1                    P 21      47562310 8 5 5 1 8    41.0   43.0
 51 2030.158689 4.521E-28 4.683E+01.05450.059 4712.71560.71-.002803              3              2                    P 15      47566310 8 5 5 1 8    29.0   31.0
 51 2032.352847 3.351E-21 1.550E+01.04710.050 1346.60080.67-.002822              1              0                    P 26      47562310 8 5 5 1 8    51.0   53.0
 51 2034.135168 2.204E-24 3.121E+01.05100.054 2942.30280.67-.002832              2              1                    P 20      47566310 8 5 5 1 8    39.0   41.0
 51 2034.408306 5.566E-28 4.724E+01.05530.059 4656.17240.72-.002787              3              2                    P 14      47566310 8 5 5 1 8    27.0   29.0
 51 2037.025324 5.239E-21 1.562E+01.04770.051 1247.05920.67-.002824              1              0                    P 25      47562310 8 5 5 1 8    49.0   51.0
 51 2038.582368 3.036E-24 3.145E+01.05170.055 2866.29750.67-.002831              2              1                    P 19      47566310 8 5 5 1 8    37.0   39.0
 51 2038.624978 6.693E-28 4.766E+01.05610.060 4603.38890.73-.002765              3              2                    P 13      47566310 8 5 5 1 8    25.0   27.0
 51 2041.666460 8.026E-21 1.573E+01.04830.051 1151.31500.67-.002827              1              0                    P 24      47562310 8 5 5 1 8    47.0   49.0
 51 2042.808556 7.856E-28 4.811E+01.05690.062 4554.36700.74-.002736              3              2                    P 12      47566310 8 5 5 1 8    23.0   25.0
 51 2042.997352 4.094E-24 3.170E+01.05240.056 2794.07440.68-.002828              2              1                    P 18      47566310 8 5 5 1 8    35.0   37.0
 51 2046.276109 1.205E-20 1.585E+01.04900.052 1059.37180.67-.002980              1              0                    P 23      47562310 8 5 5 1 1    45.0   47.0
 51 2046.958896 8.991E-28 4.859E+01.05770.063 4509.10880.75-.002699              3              2                    P 11      47566310 8 5 5 1 8    21.0   23.0
 51 2047.379973 5.404E-24 3.195E+01.05310.057 2725.63610.69-.002822              2              1                    P 17      47566310 8 5 5 1 8    33.0   35.0
 51 2050.854126 1.773E-20 1.597E+01.04960.053  971.23320.67-.003350              1              0                    P 22      47562310 8 5 5 1 1    43.0   45.0
 51 2051.075849 1.002E-27 4.912E+01.05860.064 4467.61580.75-.002651              3              2                    P 10      47566310 8 5 5 1 8    19.0   21.0
 51 2051.730086 6.978E-24 3.221E+01.05380.058 2660.98550.70-.002814              2              1                    P 16      47566310 8 5 5 1 8    31.0   33.0
 51 2055.159270 1.085E-27 4.970E+01.05950.065 4429.88980.75-.002591              3              2                    P  9      47566310 8 5 5 1 8    17.0   19.0
 51 2055.400364 2.555E-20 1.610E+01.05030.053  886.90240.67-.003630              1              0                    P 21      47562310 8 5 5 1 1    41.0   43.0
 51 2056.047543 8.812E-24 3.248E+01.05450.059 2600.12490.71-.002803              2              1                    P 15      47566310 8 5 5 1 8    29.0   31.0
 51 2059.209012 1.140E-27 5.036E+01.06060.066 4395.93220.75-.002514              3              2                    P  8      47566310 8 5 5 1 8    15.0   17.0
 51 2059.914677 3.607E-20 1.622E+01.05100.054  806.38280.67-.003050              1              0                    P 20      47566310 8 5 5 1 1    39.0   41.0
 51 2060.332198 1.088E-23 3.277E+01.05530.059 2543.05670.72-.002787              2              1                    P 14      47566310 8 5 5 1 8    27.0   29.0
 51 2063.224928 1.158E-27 5.115E+01.06180.068 4365.74430.75-.002418              3              2                    P  7      47566310 8 5 5 1 8    13.0   15.0
 51 2064.396920 4.985E-20 1.635E+01.05170.055  729.67740.67-.003410              1              0                    P 19      47566310 8 5 5 1 1    37.0   39.0
 51 2064.583906 1.311E-23 3.306E+01.05610.060 2489.78310.73-.002765              2              1                    P 13      47566310 8 5 5 1 8    25.0   27.0
 51 2067.206871 1.130E-27 5.211E+01.06320.069 4339.32740.74-.002298              3              2                    P  6      47566310 8 5 5 1 8    11.0   13.0
 51 2068.802518 1.542E-23 3.337E+01.05690.062 2440.30620.74-.002736              2              1                    P 12      47566310 8 5 5 1 8    23.0   25.0
 51 2068.846945 6.744E-20 1.648E+01.05240.056  656.78920.68-.003500              1              0                    P 18      47566310 8 5 5 1 1    35.0   37.0
 51 2071.154695 1.054E-27 5.338E+01.06510.071 4316.68240.74-.002148              3              2                    P  5      47566310 8 5 5 1 8     9.0   11.0
 51 2072.987889 1.769E-23 3.371E+01.05770.063 2394.62790.75-.002699              2              1                    P 11      47566310 8 5 5 1 8    21.0   23.0
 51 2073.264607 8.929E-20 1.661E+01.05310.057  587.72090.69-.003350              1              0                    P 17      47566310 8 5 5 1 1    33.0   35.0
 51 2075.068253 9.256E-28 5.522E+01.06770.074 4297.81020.74-.001961              3              2                    P  4      47566310 8 5 5 1 8     7.0    9.0
 51 2077.139872 1.975E-23 3.408E+01.05860.064 2352.74990.75-.002651              2              1                    P 10      47566310 8 5 5 1 8    19.0   21.0
 51 2077.649758 1.156E-19 1.674E+01.05380.058  522.47510.70-.003290              1              0                    P 16      47566310 8 5 5 1 1    31.0   33.0
 51 2078.947398 7.485E-28 5.831E+01.07120.077 4282.71160.74-.001726              3              2                    P  3      47566310 8 5 5 1 8     5.0    7.0
 51 2081.258320 2.143E-23 3.448E+01.05950.065 2314.67390.75-.002591              2              1                    P  9      47566310 8 5 5 1 8    17.0   19.0
 51 2082.002254 1.464E-19 1.689E+01.05450.059  461.05450.71-.003260              1              0                    P 15      47566310 8 5 5 1 1    29.0   31.0
 51 2082.791982 5.282E-28 6.515E+01.07570.081 4271.38710.75-.001431              3              2                    P  2      47566310 8 5 5 1 8     3.0    5.0
 51 2085.343087 2.255E-23 3.494E+01.06060.066 2280.40130.75-.002514              2              1                    P  8      47566310 8 5 5 1 8    15.0   17.0
 51 2086.321945 1.812E-19 1.703E+01.05530.059  403.46120.72-.003350              1              0                    P 14      47566310 8 5 5 1 1    27.0   29.0
 51 2086.601860 2.745E-28 9.827E+01.08030.087 4263.83720.76-.001060              3              2                    P  1      47566310 8 5 5 1 8     1.0    3.0
 51 2089.394025 2.292E-23 3.548E+01.06180.068 2249.93340.75-.002418              2              1                    P  7      47566310 8 5 5 1 8    13.0   15.0
